scientific_name_original,scientific_name_MG,scientific_name_WFO,leaf_type,functional_leaf,virtually_no_leaves,archive_date,removal_reason
Agathosma cerefolium,Agathosma cerefolium,Agathosma cerefolium,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma ciliaris,Agathosma ciliaris,Agathosma ciliaris,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma crenulata,Agathosma crenulata,Agathosma crenulata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma distans,Agathosma distans,Agathosma distans,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma divaricata,Agathosma divaricata,Agathosma divaricata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma hookeri,Agathosma hookeri,Agathosma hookeri,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma imbricata,Agathosma imbricata,Agathosma imbricata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma kougaense,Agathosma kougaense,Agathosma kougaense,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma lanceolata,Agathosma lanceolata,Agathosma lanceolata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma martiana,Agathosma martiana,Agathosma martiana,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma minuta,Agathosma minuta,Agathosma minuta,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma mucronulata,Agathosma mucronulata,Agathosma mucronulata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma mundtii,Agathosma mundtii,Agathosma mundtii,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma orbicularis,Agathosma orbicularis,Agathosma orbicularis,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma ovata,Agathosma ovata,Agathosma ovata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma pilifera,Agathosma pilifera,Agathosma pilifera,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma puberula,Agathosma puberula,Agathosma puberula,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma pubigera,Agathosma pubigera,Agathosma pubigera,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma pungens,Agathosma pungens,Agathosma pungens,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma recurvifolia,Agathosma recurvifolia,Agathosma recurvifolia,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma serpyllacea,Agathosma serpyllacea,Agathosma serpyllacea,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma stilbeoides,Agathosma stilbeoides,Agathosma stilbeoides,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma unicarpellata,Agathosma unicarpellata,Agathosma unicarpellata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agathosma venusta,Agathosma venusta,Agathosma venusta,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Agrostis lachnantha,Agrostis lachnantha,Lachnagrostis lachnantha,leaf,mixed,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aizoon paniculatum,Aizoon paniculatum,Aizoon paniculatum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aizoon rigidum,Aizoon rigidum,Aizoon rigidum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aizoon sarmentosum,Aizoon sarmentosum,Aizoon sarmentosum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Albuca cooperi,Albuca cooperi,Albuca cooperi,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Albuca flaccida,Albuca flaccida,Albuca flaccida,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Alepidea capensis,Alepidea capensis,Alepidea capensis,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Alepidea delicatula,Alepidea delicatula,Alepidea delicatula,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Allophylus decipiens,Allophylus decipiens,Allophylus decipiens,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe arborescens,Aloe arborescens,Aloe arborescens,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe ciliaris,Aloe ciliaris,Aloiampelos ciliaris,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe comptonii,Aloe comptonii,Aloe comptonii,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe ferox,Aloe ferox,Aloe ferox,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe perfoliata,Aloe mitriformis,Aloe perfoliata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Aloe speciosa,Aloe speciosa,Aloe speciosa,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Alsophila capensis,Cyathea capensis,Alsophila capensis,frond,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea axillaris,Amphithalea axillaris,Amphithalea axillaris,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea cymbifolia,Amphithalea cymbifolia,Amphithalea cymbifolia,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea ericifolia,Amphithalea ericifolia,Amphithalea ericifolia,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea micrantha,Amphithalea micrantha,Amphithalea micrantha,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea violacea,Amphithalea violacea,Amphithalea violacea,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Amphithalea williamsonii,Amphithalea williamsonii,Amphithalea williamsonii,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anacampseros arachnoides,Anacampseros arachnoides,Anacampseros arachnoides,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anacampseros telephiastrum,Anacampseros telephiastrum,Anacampseros telephiastrum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anaxeton asperum,Anaxeton asperum,Anaxeton asperum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anaxeton laeve,Anaxeton laeve,Anaxeton laeve,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anaxeton nycthemerum,Anaxeton nycthemerum,Anaxeton nycthemerum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anderbergia epaleata,Anderbergia epaleata,Anderbergia epaleata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Andropogon appendiculatus,Andropogon appendiculatus,Andropogon appendiculatus,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anemone knowltonia,Knowltonia capensis,Knowltonia capensis,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anemone tenuifolia,Anemone tenuifolia,Pulsatilla vulgaris,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anemone vesicatoria,Knowltonia vesicatoria,Anemone vesicatoria,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anginon difforme,Anginon difforme,Anginon difforme,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anisodontea scabrosa,Anisodontea scabrosa,Anisodontea scabrosa,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Annesorhiza altiscapa,Annesorhiza altiscapa,Annesorhiza altiscapa,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthochortus capensis,Anthochortus capensis,Anthochortus capensis,leaf,culm_stem,1,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthochortus crinalis,Anthochortus crinalis,Anthochortus crinalis,leaf,culm_stem,1,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthochortus ecklonii,Anthochortus ecklonii,Anthochortus ecklonii,leaf,culm_stem,1,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthochortus laxiflorus,Anthochortus laxiflorus,Anthochortus laxiflorus,leaf,culm_stem,1,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthospermum aethiopicum,Anthospermum aethiopicum,Anthospermum aethiopicum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthospermum bergianum,Anthospermum bergianum,Anthospermum bergianum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthospermum galioides,Anthospermum galioides,Anthospermum galioides,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthospermum prostratum,Anthospermum prostratum,Anthospermum prostratum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Anthospermum spathulatum,Anthospermum spathulatum,Anthospermum spathulatum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Antimima dasyphylla,Antimima dasyphylla,Antimima dasyphylla,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Apium decumbens,Apium decumbens,Apium graveolens,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Apodytes dimidiata,Apodytes dimidiata,Apodytes dimidiata,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctopus echinatus,Arctopus echinatus,Arctopus echinatus,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotheca calendula,Arctotheca calendula,Arctotheca calendula,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotis acaulis,Arctotis acaulis,Arctotis acaulis,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotis adpressa,Arctotis adpressa,Arctotis adpressa,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotis aspera,Arctotis aspera,Arctotis aspera,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotis scabra,Arctotis scabra,Arctotis semipapposa,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Arctotis stoechadifolia,Arctotis stoechadifolia,Arctotis stoechadifolia,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Argyrolobium collinum,Argyrolobium collinum,Argyrolobium collinum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Argyrolobium filiforme,Argyrolobium filiforme,Argyrolobium filifolia,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
Argyrolobium incanum,Argyrolobium incanum,Argyrolobium incanum,leaf,leaf,0,2026-08-11,"leaf_type 'leaf' value found to reflect an undocumented default fill, not a verified classification; column retired in favor of structural binary flags (frond/cladode/phyllode/microphyll) plus functional_leaf"
