scientific_name_original,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,recovery_status,releve_ID,plot,year,subregion,latitude,longitude,percent_cover,abundance_class,cover_method,plot_percent_cover,relative_percent_cover,plot_size
Mastersiella purpurea,Mastersiella purpurea,(Pillans) H.P.Linder,Restionaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,10,NA,percent_cover_continuous,36,0.2777777777777778,NA
Merxmuellera arundinacea,Capeochloa arundinacea,(P.J.Bergius) N.P.Barker & H.P.Linder,Poaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Metalasia massonii,Metalasia massonii,S.Moore,Asteraceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Pentaschistis eriostoma,Pentameris eriostoma,(Nees) Steud.,Poaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Rhodocoma fruticosa,Rhodocoma fruticosa,(Thunb.) H.P.Linder,Restionaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Thesium nigromontanum,Thesium nigromontanum,Sond.,Santalaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Thoracosperma nanum,Erica bolusanthus,E.G.H.Oliv.,Ericaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,5,NA,percent_cover_continuous,36,0.1388888888888889,NA
Wahlenbergia neorigida,Wahlenbergia neorigida,Lammers,Campanulaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Agathosma martiana,Agathosma martiana,Sond.,Rutaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,4,NA,percent_cover_continuous,41.7,0.09592326139088729,NA
Aspalathus rubens,Aspalathus rubens,Thunb.,Fabaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Athanasia pinnata,Athanasia pinnata,L.f.,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Erica umbelliflora,Erica umbelliflora,Klotzsch ex Benth.,Ericaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,2,NA,percent_cover_continuous,41.7,0.047961630695443645,NA
Ficinia filiformis,Ficinia filiformis,(Lam.) Schrad.,Cyperaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Gibbaria scabra,Gibbaria scabra,(Thunb.) Norl.,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Helichrysum anomalum,Helichrysum anomalum,Less.,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Hypodiscus striatus,Hypodiscus striatus,(Kunth) Mast.,Restionaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,20,NA,percent_cover_continuous,41.7,0.4796163069544364,NA
Lobelia coronopifolia,Lobelia coronopifolia,L.,Campanulaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Merxmuellera arundinacea,Capeochloa arundinacea,(P.J.Bergius) N.P.Barker & H.P.Linder,Poaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,4,NA,percent_cover_continuous,41.7,0.09592326139088729,NA
Metalasia massonii,Metalasia massonii,S.Moore,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,1,NA,percent_cover_continuous,41.7,0.023980815347721823,NA
Muraltia juniperifolia,Muraltia juniperifolia,DC.,Polygalaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Phylica lachneaeoides,Phylica lachneaeoides,Pillans,Rhamnaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,3,NA,percent_cover_continuous,41.7,0.07194244604316546,NA
Protea lorifolia,Protea lorifolia,(Knight) Fourc.,Proteaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,4,NA,percent_cover_continuous,41.7,0.09592326139088729,NA
Relhania speciosa,Oedera speciosa,(DC.) N.G.Bergh,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Rhodocoma fruticosa,Rhodocoma fruticosa,(Thunb.) H.P.Linder,Restionaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Ruschia species,Ruschia,Schwantes,Aizoaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Selago thunbergii,Selago canescens,L.f.,Scrophulariaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.5,NA,percent_cover_continuous,41.7,0.011990407673860911,NA
Senecio aizoides,Senecio aizoides,(DC.) Sch.Bip.,Asteraceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Thoracosperma galpinii,Erica rosacea,(L.Guthrie) E.G.H.Oliv.,Ericaceae,wfo_matched,BK_3_1992,BK_3,1992,baviaanskloof,-33.52111,24.08495,0.1,NA,percent_cover_continuous,41.7,0.002398081534772182,NA
Agathosma capensis,Agathosma capensis,Druce,Rutaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Andropogon appendiculatus,Andropogon appendiculatus,Nees,Poaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Anthospermum aethiopicum,Anthospermum aethiopicum,L.,Rubiaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Anthospermum galioides,Anthospermum galioides,Rchb. ex Spreng.,Rubiaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Aspalathus collina,Aspalathus collina,Eckl. & Zeyh.,Fabaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,1,NA,percent_cover_continuous,46.2,0.021645021645021644,NA
Aspalathus kougaensis,Aspalathus kougaensis,(Garab. ex R.Dahlgren) R.Dahlgren,Fabaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,5,NA,percent_cover_continuous,46.2,0.10822510822510822,NA
Babiana sambucina,Babiana sambucina,(Jacq.) Ker Gawl.,Iridaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Brachiaria serrata,Urochloa serrata,(Thunb.) Sosef,Poaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,1,NA,percent_cover_continuous,46.2,0.021645021645021644,NA
Cliffortia drepanoides,Cliffortia drepanoides,Eckl. & Zeyh.,Rosaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,3,NA,percent_cover_continuous,46.2,0.06493506493506493,NA
Euchaetis vallis-simiae,Euchaetis vallis-simiae,I.Williams,Rutaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Euryops munitus,Euryops munitus,(L.f.) B.Nord.,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Ficinia filiformis,Ficinia filiformis,(Lam.) Schrad.,Cyperaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Gazania krebsiana,Gazania krebsiana,Less.,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Helichrysum cymosum,Helichrysum cymosum,(L.) D.Don,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Heliophila glauca,Heliophila glauca,Burch. ex DC.,Brassicaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Hermannia involucrata,Hermannia involucrata,Cav.,Malvaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,2,NA,percent_cover_continuous,46.2,0.04329004329004329,NA
Hibiscus aethiopicus,Hibiscus aethiopicus,L.,Malvaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.1,NA,percent_cover_continuous,46.2,0.0021645021645021645,NA
Hypodiscus striatus,Hypodiscus striatus,(Kunth) Mast.,Restionaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,4,NA,percent_cover_continuous,46.2,0.08658008658008658,NA
Metalasia massonii,Metalasia massonii,S.Moore,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Montinia caryophyllacea,Montinia caryophyllacea,Thunb.,Montiniaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Muraltia juniperifolia,Muraltia juniperifolia,DC.,Polygalaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Othonna carnosa,Othonna carnosa,Less.,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Othonna species,Othonna,L.,Asteraceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Pentaschistis eriostoma,Pentameris eriostoma,(Nees) Steud.,Poaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,17,NA,percent_cover_continuous,46.2,0.36796536796536794,NA
Phylica axillaris,Phylica axillaris,Lam.,Rhamnaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Rhodocoma fruticosa,Rhodocoma fruticosa,(Thunb.) H.P.Linder,Restionaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,4,NA,percent_cover_continuous,46.2,0.08658008658008658,NA
Ruschia species,Ruschia,Schwantes,Aizoaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.5,NA,percent_cover_continuous,46.2,0.010822510822510822,NA
Wahlenbergia species,Wahlenbergia,Schrad. ex Roth,Campanulaceae,wfo_matched,BK_4_1992,BK_4,1992,baviaanskloof,-33.53914,24.07987,0.1,NA,percent_cover_continuous,46.2,0.0021645021645021645,NA
Agathosma puberula,Agathosma puberula,(Steud.) Fourc.,Rutaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Anthospermum aethiopicum,Anthospermum aethiopicum,L.,Rubiaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,1,NA,percent_cover_continuous,35,0.02857142857142857,NA
Asparagus africanus,Asparagus africanus,Lam.,Asparagaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Chascanum cuneifolium,Chascanum cuneifolium,(L.f.) E.Mey.,Verbenaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Cliffortia drepanoides,Cliffortia drepanoides,Eckl. & Zeyh.,Rosaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,2,NA,percent_cover_continuous,35,0.05714285714285714,NA
Commelina africana,Commelina africana,L.,Commelinaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Crassula capitella,Crassula capitella,Thunb.,Crassulaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Crassula ericoides,Crassula ericoides,Haw.,Crassulaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Crassula muscosa,Crassula muscosa,L.,Crassulaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Digitaria eriantha,Digitaria eriantha,Steud.,Poaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,7,NA,percent_cover_continuous,35,0.2,NA
Felicia muricata,Felicia muricata,Nees,Asteraceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Freylinia undulata,Freylinia undulata,(L.f.) Benth.,Scrophulariaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Helichrysum anomalum,Helichrysum anomalum,Less.,Asteraceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,1,NA,percent_cover_continuous,35,0.02857142857142857,NA
Hermannia involucrata,Hermannia involucrata,Cav.,Malvaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Indigofera denudata,Indigofera denudata,L.f.,Fabaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Kedrostis nana,Kedrostis nana,(Lam.) Cogn.,Cucurbitaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Leipoldtia britteniae,Leipoldtia schultzei,(Schltr. & Diels) Friedrich,Aizoaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Merxmuellera stricta,Tenaxia stricta,(Schrad.) N.P.Barker & H.P.Linder,Poaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Oedera squarrosa,Oedera squarrosa,(L.) Anderb. & K.Bremer,Asteraceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,1,NA,percent_cover_continuous,35,0.02857142857142857,NA
Othonna amplexifolia,Othonna amplexifolia,DC.,Asteraceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Passerina obtusifolia,Passerina obtusifolia,Thoday,Thymelaeaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,6,NA,percent_cover_continuous,35,0.17142857142857143,NA
Pentaschistis eriostoma,Pentameris eriostoma,(Nees) Steud.,Poaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,3,NA,percent_cover_continuous,35,0.08571428571428572,NA
Polygala illepida,Polygala illepida,E.Mey. ex Harv. & Sond.,Polygalaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Rhus glauca,Searsia glauca,(Thunb.) Moffett,Anacardiaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,1,NA,percent_cover_continuous,35,0.02857142857142857,NA
Stachys aethiopica,Stachys aethiopica,L.,Lamiaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Sutera denudata,Chaenostoma denudatum,Benth.,Scrophulariaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,0.5,NA,percent_cover_continuous,35,0.014285714285714285,NA
Themeda triandra,Themeda triandra,Forssk.,Poaceae,wfo_matched,BK_5_1992,BK_5,1992,baviaanskloof,-33.55304,24.07313,4,NA,percent_cover_continuous,35,0.11428571428571428,NA
Agathosma ovata,Agathosma ovata,(Thunb.) Pillans,Rutaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Anthospermum aethiopicum,Anthospermum aethiopicum,L.,Rubiaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,5,NA,percent_cover_continuous,50.5,0.09900990099009901,NA
Aspalathus kougaensis,Aspalathus kougaensis,(Garab. ex R.Dahlgren) R.Dahlgren,Fabaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,7,NA,percent_cover_continuous,50.5,0.13861386138613863,NA
Athrixia heterophylla,Athrixia heterophylla,(Thunb.) Less.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Babiana sambucina,Babiana sambucina,(Jacq.) Ker Gawl.,Iridaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Carpobrotus species,Carpobrotus,N.E.Br.,Aizoaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,3,NA,percent_cover_continuous,50.5,0.0594059405940594,NA
Chrysanthemoides monilifera,Chrysanthemoides monilifera,(L.) Norl.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Chrysocoma ciliata,Chrysocoma ciliata,L.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Clutia polifolia,Clutia polifolia,Jacq.,Peraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Corymbium africanum,Corymbium africanum,L.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Ehrharta villosa,Ehrharta villosa,Schult.f.,Poaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Eragrostis curvula,Eragrostis curvula,(Schrad.) Nees,Poaceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Gazania krebsiana,Gazania krebsiana,Less.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
Gibbaria scabra,Gibbaria scabra,(Thunb.) Norl.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,1,NA,percent_cover_continuous,50.5,0.019801980198019802,NA
Helichrysum anomalum,Helichrysum anomalum,Less.,Asteraceae,wfo_matched,BK_6_1992,BK_6,1992,baviaanskloof,-33.70197,24.20012,0.5,NA,percent_cover_continuous,50.5,0.009900990099009901,NA
