Species,Plot,Year,Site,PercCover,AbundClass,PlotPercCov,RelPercCover,Family
Acmadenia trigona,LB2_70,1993,langeberg,2.5,NA,198.1,0.0126198889449773,RUTACEAE
Acmadenia trigona,LB2_68,1993,langeberg,2.5,NA,225.1,0.0111061750333185,RUTACEAE
Acmadenia trigona,LB2_136,1993,langeberg,2.5,NA,150.3,0.0166333998669328,RUTACEAE
Acmadenia trigona,LB2_92,1993,langeberg,2.5,NA,193.5,0.0129198966408269,RUTACEAE
Acmadenia trigona,LB2_74,1993,langeberg,2.5,NA,163.1,0.0153280196198651,RUTACEAE
Acmadenia trigona,LB2_58,1993,langeberg,0.1,NA,117.8,0.000848896434634975,RUTACEAE
Acmadenia trigona,LB2_112,1993,langeberg,2.5,NA,215.3,0.011611704598235,RUTACEAE
Acmadenia trigona,LB2_59,1993,langeberg,2.5,NA,122.8,0.0203583061889251,RUTACEAE
Acmadenia trigona,LB2_73,1993,langeberg,0.1,NA,176,0.000568181818181818,RUTACEAE
Acmadenia trigona,LB2_105,1993,langeberg,2.5,NA,203.3,0.0122970978848992,RUTACEAE
Acrolophia barbata,LB2_20,1993,langeberg,2.5,NA,332.5,0.0075187969924812,ORCHIDACEAE
Acrolophia capensis,BK_35_a,2011,baviaanskloof,0.2,NA,122.9,0.0016273393002441,ORCHIDACEAE
Acrolophia capensis,BK_35_b,2011,baviaanskloof,0.2,NA,132.1,0.00151400454201363,ORCHIDACEAE
Acrosanthes angustifolia,CB_131,1996,cederberg,0.1,NA,198.1,0.000504795557799091,AIZOACEAE
Adenandra brachyphylla,HK_67,1978,hangklip,0.1,NA,50.3,0.00198807157057654,RUTACEAE
Adenandra brachyphylla,HK_71,1978,hangklip,0.1,NA,38,0.00263157894736842,RUTACEAE
Adenandra brachyphylla,HK_61,1978,hangklip,0.1,NA,27.5,0.00363636363636364,RUTACEAE
Adenandra fragrans,LB1_82,1993,langeberg,62.5,NA,460.6,0.135692574902301,RUTACEAE
Adenandra mundiifolia,LB1_111,1993,langeberg,2.5,NA,417.7,0.00598515681110845,RUTACEAE
Adenandra mundiifolia,LB1_112,1993,langeberg,2.5,NA,377.8,0.00661725780836421,RUTACEAE
Adenandra uniflora,CP_4,2010,cape_point,0.45,2,78.51,0.00573175391669851,RUTACEAE
Adenandra uniflora,CP_61,1966,cape_point,NA,5,NA,NA,RUTACEAE
Adenandra uniflora,CP_86,1996,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra uniflora,CP_44,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra uniflora,CP_61,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra uniflora,CP_3,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra uniflora,CP_3,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra uniflora,CP_89,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra uniflora,CP_61,2010,cape_point,0.2,1,92.505,0.00216204529484893,RUTACEAE
Adenandra uniflora,CP_42,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra uniflora,CP_92,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra uniflora,CP_86,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,HK_4,1978,hangklip,0.1,NA,62.8,0.00159235668789809,RUTACEAE
Adenandra villosa,CP_62,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_75,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_44,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_9,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_31,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_59,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_66,2010,cape_point,0.8,3,74.43,0.0107483541582695,RUTACEAE
Adenandra villosa,CP_71,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_72,2010,cape_point,0.025,1,84.21,0.000296876855480347,RUTACEAE
Adenandra villosa,CP_31,1996,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_3,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_87,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,HK_28,1978,hangklip,0.1,NA,26.4,0.00378787878787879,RUTACEAE
Adenandra villosa,CP_3,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_30,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_75,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_8,2010,cape_point,0.05,1,71.6402,0.000697932166576866,RUTACEAE
Adenandra villosa,HK_61,1978,hangklip,0.1,NA,27.5,0.00363636363636364,RUTACEAE
Adenandra villosa,HK_26,1978,hangklip,0.1,NA,60.7,0.00164744645799012,RUTACEAE
Adenandra villosa,CP_87,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_37,2010,cape_point,0.4,1,87.9,0.00455062571103527,RUTACEAE
Adenandra villosa,CP_21,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_59,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_62,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_28,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_212,1978,hangklip,0.1,NA,122.2,0.000818330605564648,RUTACEAE
Adenandra villosa,CP_23,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_28,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_110,1978,hangklip,0.1,NA,4.9,0.0204081632653061,RUTACEAE
Adenandra villosa,CP_3,2010,cape_point,0.05,1,47.37,0.00105552037154317,RUTACEAE
Adenandra villosa,CP_31,2010,cape_point,0.1,1,41.595,0.00240413511239332,RUTACEAE
Adenandra villosa,HK_184,1978,hangklip,0.1,NA,164.4,0.000608272506082725,RUTACEAE
Adenandra villosa,CP_1,2010,cape_point,0.15,1,42.6003,0.00352110196407068,RUTACEAE
Adenandra villosa,CP_82,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_59,2010,cape_point,0.33,2,90.01,0.00366625930452172,RUTACEAE
Adenandra villosa,CP_26,2010,cape_point,1.15,3,75.45,0.0152418820410868,RUTACEAE
Adenandra villosa,CP_34,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_37,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_200,1978,hangklip,0.1,NA,9.4,0.0106382978723404,RUTACEAE
Adenandra villosa,CP_79,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,HK_53,1978,hangklip,0.1,NA,90.5,0.00110497237569061,RUTACEAE
Adenandra villosa,CP_21,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_36,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_42,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_6,1978,hangklip,0.1,NA,61.2,0.00163398692810458,RUTACEAE
Adenandra villosa,CP_37,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_178,1978,hangklip,0.1,NA,142.1,0.000703729767769177,RUTACEAE
Adenandra villosa,CP_98,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_210,1978,hangklip,0.1,NA,39.4,0.00253807106598985,RUTACEAE
Adenandra villosa,CP_98,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_76,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_183,1978,hangklip,0.1,NA,37.6,0.00265957446808511,RUTACEAE
Adenandra villosa,CP_79,2010,cape_point,0.25,2,100.88,0.0024781919111816,RUTACEAE
Adenandra villosa,CP_74,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_63,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_45,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_1,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_67,2010,cape_point,1.55,3,65.815,0.023550862265441,RUTACEAE
Adenandra villosa,HK_139,1978,hangklip,2.5,NA,15.3,0.163398692810458,RUTACEAE
Adenandra villosa,CP_8,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_73,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_45,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_27,1978,hangklip,0.1,NA,58.3,0.00171526586620926,RUTACEAE
Adenandra villosa,CP_100,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_71,1978,hangklip,0.1,NA,38,0.00263157894736842,RUTACEAE
Adenandra villosa,CP_76,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_1,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_81,1966,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_166,1978,hangklip,0.1,NA,152.5,0.000655737704918033,RUTACEAE
Adenandra villosa,CP_73,2010,cape_point,0.1,1,108.55,0.000921234454168586,RUTACEAE
Adenandra villosa,CP_57,2010,cape_point,1.15,3,72.75,0.015807560137457,RUTACEAE
Adenandra villosa,CP_67,1996,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_39,2010,cape_point,0.425,3,83.825,0.00507008648971071,RUTACEAE
Adenandra villosa,CP_9,2010,cape_point,0.5,1,61.97,0.00806842020332419,RUTACEAE
Adenandra villosa,HK_238,1978,hangklip,2.5,NA,108.1,0.0231267345050879,RUTACEAE
Adenandra villosa,HK_63,1978,hangklip,0.1,NA,30.1,0.00332225913621262,RUTACEAE
Adenandra villosa,HK_201,1978,hangklip,0.1,NA,14.1,0.00709219858156028,RUTACEAE
Adenandra villosa,CP_9,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,CP_39,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_27,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_73,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_121,1978,hangklip,0.1,NA,19.1,0.00523560209424084,RUTACEAE
Adenandra villosa,CP_21,2010,cape_point,0.55,3,72.85,0.00754975978037063,RUTACEAE
Adenandra villosa,CP_20,2010,cape_point,0.15,1,58.015,0.00258553822287339,RUTACEAE
Adenandra villosa,CP_45,2010,cape_point,0.05,1,56.025,0.000892458723784025,RUTACEAE
Adenandra villosa,HK_151,1978,hangklip,0.1,NA,55.4,0.00180505415162455,RUTACEAE
Adenandra villosa,CP_67,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_34,1996,cape_point,NA,1,NA,NA,RUTACEAE
Adenandra villosa,HK_57,1978,hangklip,0.1,NA,30,0.00333333333333333,RUTACEAE
Adenandra villosa,HK_225,1978,hangklip,0.1,NA,27.9,0.003584229390681,RUTACEAE
Adenandra villosa,CP_44,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_57,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_12,1978,hangklip,0.1,NA,60.7,0.00164744645799012,RUTACEAE
Adenandra villosa,HK_202,1978,hangklip,0.1,NA,17.1,0.00584795321637427,RUTACEAE
Adenandra villosa,CP_28,2010,cape_point,1.075,3,70.435,0.0152622985731526,RUTACEAE
Adenandra villosa,CP_62,2010,cape_point,0.1,1,124.01,0.00080638658172728,RUTACEAE
Adenandra villosa,CP_27,2010,cape_point,0.35,1,59.2,0.00591216216216216,RUTACEAE
Adenandra villosa,CP_36,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_30,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_66,1996,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,HK_228,1978,hangklip,0.1,NA,19.3,0.00518134715025907,RUTACEAE
Adenandra villosa,HK_119,1978,hangklip,0.1,NA,8.2,0.0121951219512195,RUTACEAE
Adenandra villosa,CP_66,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_224,1978,hangklip,0.1,NA,12.9,0.00775193798449612,RUTACEAE
Adenandra villosa,CP_57,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,CP_23,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_54,1996,cape_point,NA,3,NA,NA,RUTACEAE
Adenandra villosa,HK_188,1978,hangklip,0.1,NA,103.1,0.000969932104752667,RUTACEAE
Adenandra villosa,CP_39,1996,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,CP_15,1966,cape_point,NA,2,NA,NA,RUTACEAE
Adenandra villosa,HK_143,1978,hangklip,0.1,NA,9.4,0.0106382978723404,RUTACEAE
Adenandra villosa,CP_27,1966,cape_point,NA,3,NA,NA,RUTACEAE
Adenocline pauciflora,CP_68,1966,cape_point,NA,2,NA,NA,EUPHORBIACEAE
Adenocline pauciflora,BK_90_b,2011,baviaanskloof,0.5,NA,103,0.00485436893203883,EUPHORBIACEAE
Adenocline pauciflora,BK_90_a,2011,baviaanskloof,0.5,NA,111.6,0.00448028673835126,EUPHORBIACEAE
Adenocline pauciflora,BK_85_b,2011,baviaanskloof,0.1,NA,113.1,0.000884173297966401,EUPHORBIACEAE
Adenocline pauciflora,BK_85_a,2011,baviaanskloof,0.2,NA,107,0.00186915887850467,EUPHORBIACEAE
Adenocline pauciflora,CP_70,1966,cape_point,NA,1,NA,NA,EUPHORBIACEAE
Adenocline pauciflora,BK_74_a,2011,baviaanskloof,0.1,NA,105.2,0.000950570342205323,EUPHORBIACEAE
Adenocline pauciflora,BK_74_b,2011,baviaanskloof,0.1,NA,101.9,0.00098135426889107,EUPHORBIACEAE
Adenocline pauciflora,CP_70,1996,cape_point,NA,1,NA,NA,EUPHORBIACEAE
Adenogramma glomerata,HTR_157,2004,htr,2.5,NA,46.25,0.0540540540540541,MOLLUGINACEAE
Adenogramma glomerata,HTR_306,2004,htr,2.5,NA,30,0.0833333333333333,MOLLUGINACEAE
Adenogramma glomerata,HTR_335,2004,htr,2.5,NA,12.5,0.2,MOLLUGINACEAE
Adenogramma glomerata,HTR_152,2004,htr,2.5,NA,75,0.0333333333333333,MOLLUGINACEAE
Adenogramma glomerata,CB_136,1996,cederberg,0.1,NA,111.2,0.000899280575539568,MOLLUGINACEAE
Adenogramma glomerata,HTR_5_nieu,2014,htr,0.5,NA,98.5,0.0050761421319797,MOLLUGINACEAE
Adenogramma glomerata,CB_139,1996,cederberg,0.1,NA,166.3,0.000601322910402886,MOLLUGINACEAE
Adenogramma glomerata,HTR_46_ak,2013,htr,2.5,NA,75,0.0333333333333333,MOLLUGINACEAE
Adenogramma glomerata,HTR_196,2004,htr,2.5,NA,53.75,0.0465116279069767,MOLLUGINACEAE
Adenogramma glomerata,HTR_338,2004,htr,2.5,NA,22.5,0.111111111111111,MOLLUGINACEAE
Adenogramma glomerata,HTR_370,2004,htr,2.5,NA,55,0.0454545454545455,MOLLUGINACEAE
Adenogramma lichtensteiniana,CB_154,1996,cederberg,0.1,NA,95.8,0.00104384133611691,MOLLUGINACEAE
Adromischus cristatus,BK_90_b,2011,baviaanskloof,0.1,NA,103,0.000970873786407767,CRASSULACEAE
Adromischus cristatus,BK_65_b,2011,baviaanskloof,0.2,NA,68.8,0.00290697674418605,CRASSULACEAE
Adromischus cristatus,BK_1_b,2011,baviaanskloof,0.1,NA,84.5,0.00118343195266272,CRASSULACEAE
Adromischus maculatus,BK_24_b,2011,baviaanskloof,1,NA,74.6,0.0134048257372654,CRASSULACEAE
Adromischus maculatus,BK_48,1992,baviaanskloof,0.1,NA,46.7,0.00214132762312634,CRASSULACEAE
Adromischus maculatus,CB_173,1996,cederberg,0.1,NA,58.4,0.00171232876712329,CRASSULACEAE
Adromischus maculatus,BK_9_a,2011,baviaanskloof,1,NA,58,0.0172413793103448,CRASSULACEAE
Adromischus maculatus,CB_175,1996,cederberg,0.1,NA,34.2,0.00292397660818713,CRASSULACEAE
Adromischus maculatus,BK_102_b,2011,baviaanskloof,0.5,NA,34.4,0.0145348837209302,CRASSULACEAE
Adromischus maculatus,BK_73_b,2011,baviaanskloof,1,NA,65.3,0.0153139356814701,CRASSULACEAE
Adromischus maculatus,BK_24_a,2011,baviaanskloof,1,NA,66,0.0151515151515152,CRASSULACEAE
Adromischus maculatus,BK_70_a,2011,baviaanskloof,1,NA,47.4,0.0210970464135021,CRASSULACEAE
Adromischus maculatus,CB_151,1996,cederberg,0.1,NA,65.4,0.00152905198776758,CRASSULACEAE
Adromischus maculatus,BK_24,1992,baviaanskloof,0.1,NA,33.5,0.00298507462686567,CRASSULACEAE
Adromischus maculatus,BK_73,1992,baviaanskloof,2,NA,76.5,0.0261437908496732,CRASSULACEAE
Adromischus maculatus,BK_102,1992,baviaanskloof,1,NA,37,0.027027027027027,CRASSULACEAE
Adromischus maculatus,CB_83,1996,cederberg,0.1,NA,41.4,0.00241545893719807,CRASSULACEAE
Adromischus maculatus,BK_117,1992,baviaanskloof,0.5,NA,60.5,0.00826446280991736,CRASSULACEAE
Adromischus maculatus,BK_117_a,2011,baviaanskloof,1,NA,106.5,0.00938967136150235,CRASSULACEAE
Adromischus maculatus,BK_55_a,2011,baviaanskloof,0.5,NA,72.1,0.00693481276005548,CRASSULACEAE
Adromischus maculatus,BK_22_a,2011,baviaanskloof,0.5,NA,70.9,0.00705218617771509,CRASSULACEAE
Adromischus maculatus,BK_117_b,2011,baviaanskloof,1,NA,102.5,0.00975609756097561,CRASSULACEAE
Adromischus maculatus,BK_34,1992,baviaanskloof,0.5,NA,42.1,0.0118764845605701,CRASSULACEAE
Adromischus maculatus,BK_42_b,2011,baviaanskloof,1,NA,56.1,0.017825311942959,CRASSULACEAE
Adromischus maculatus,BK_21_a,2011,baviaanskloof,0.2,NA,105,0.0019047619047619,CRASSULACEAE
Adromischus maculatus,BK_77,1992,baviaanskloof,0.5,NA,55.5,0.00900900900900901,CRASSULACEAE
Adromischus maculatus,BK_22,1992,baviaanskloof,1,NA,31,0.032258064516129,CRASSULACEAE
Adromischus maculatus,BK_73_a,2011,baviaanskloof,1,NA,71.6,0.0139664804469274,CRASSULACEAE
Adromischus maculatus,CB_176,1996,cederberg,0.1,NA,39.4,0.00253807106598985,CRASSULACEAE
Adromischus maculatus,CB_96,1996,cederberg,0.1,NA,48.6,0.00205761316872428,CRASSULACEAE
Adromischus maculatus,BK_51_b,2011,baviaanskloof,0.5,NA,95.3,0.00524658971668416,CRASSULACEAE
Adromischus maculatus,BK_51_a,2011,baviaanskloof,0.5,NA,93.5,0.0053475935828877,CRASSULACEAE
Adromischus maculatus,BK_70,1992,baviaanskloof,0.5,NA,40.6,0.0123152709359606,CRASSULACEAE
Adromischus maculatus,BK_55_b,2011,baviaanskloof,0.5,NA,77.7,0.00643500643500643,CRASSULACEAE
Adromischus maculatus,BK_9,1992,baviaanskloof,0.5,NA,24.5,0.0204081632653061,CRASSULACEAE
Adromischus maculatus,BK_55,1992,baviaanskloof,2,NA,51.7,0.0386847195357834,CRASSULACEAE
Adromischus maculatus,BK_9_b,2011,baviaanskloof,0.5,NA,61.1,0.00818330605564648,CRASSULACEAE
Adromischus maculatus,CB_141,1996,cederberg,0.1,NA,83.5,0.00119760479041916,CRASSULACEAE
Adromischus maculatus,BK_102_a,2011,baviaanskloof,1,NA,44.7,0.0223713646532438,CRASSULACEAE
Adromischus maculatus,BK_70_b,2011,baviaanskloof,0.2,NA,49.9,0.00400801603206413,CRASSULACEAE
Adromischus maculatus,BK_42_a,2011,baviaanskloof,2,NA,62,0.032258064516129,CRASSULACEAE
Adromischus triflorus,LB2_61,1993,langeberg,0.1,NA,120.4,0.000830564784053156,CRASSULACEAE
Adromischus triflorus,LB1_107,1993,langeberg,2.5,NA,192.6,0.0129802699896158,CRASSULACEAE
Adromischus triflorus,LB2_133,1993,langeberg,2.5,NA,157.8,0.0158428390367554,CRASSULACEAE
Adromischus triflorus,LB1_106,1993,langeberg,2.5,NA,193.2,0.0129399585921325,CRASSULACEAE
Adromischus triflorus,LB1_115,1993,langeberg,0.1,NA,175.6,0.000569476082004556,CRASSULACEAE
Adromischus triflorus,LB1_51,1993,langeberg,0.1,NA,150.6,0.000664010624169987,CRASSULACEAE
Adromischus triflorus,LB2_60,1993,langeberg,2.5,NA,90.3,0.0276854928017719,CRASSULACEAE
Adromischus triflorus,LB2_59,1993,langeberg,2.5,NA,122.8,0.0203583061889251,CRASSULACEAE
Adromischus triflorus,LB1_46,1993,langeberg,0.1,NA,185.4,0.000539374325782093,CRASSULACEAE
Adromischus triflorus,LB1_43,1993,langeberg,2.5,NA,160.4,0.0155860349127182,CRASSULACEAE
Afroaster hispida,BK_119_b,2011,baviaanskloof,0.1,NA,132.1,0.000757002271006813,ASTERACEAE
Afroaster hispida,BK_65_a,2011,baviaanskloof,0.2,NA,101.6,0.00196850393700787,ASTERACEAE
Agapanthus praecox,BK_65_a,2011,baviaanskloof,0.5,NA,101.6,0.00492125984251968,AGAPANTHACEAE
Agapanthus praecox,BK_64_b,2011,baviaanskloof,3,NA,132.9,0.0225733634311512,AGAPANTHACEAE
Agapanthus praecox,BK_64_a,2011,baviaanskloof,3,NA,161.6,0.0185643564356436,AGAPANTHACEAE
Agapanthus walshii,HK_205,1978,hangklip,0.1,NA,24,0.00416666666666667,AGAPANTHACEAE
Agapanthus walshii,HK_174,1978,hangklip,0.1,NA,20.8,0.00480769230769231,AGAPANTHACEAE
Agapanthus walshii,CP_3,2010,cape_point,0.22,3,47.37,0.00464428963478995,AGAPANTHACEAE
Agapanthus walshii,HK_67,1978,hangklip,0.1,NA,50.3,0.00198807157057654,AGAPANTHACEAE
Agapanthus walshii,HK_251,1978,hangklip,0.1,NA,18.1,0.00552486187845304,AGAPANTHACEAE
Agapanthus walshii,LB2_124,1993,langeberg,2.5,NA,278.6,0.00897343862167983,AGAPANTHACEAE
Agapanthus walshii,HK_82,1978,hangklip,0.1,NA,54.7,0.00182815356489945,AGAPANTHACEAE
Agapanthus walshii,LB2_90,1993,langeberg,0.1,NA,188.4,0.000530785562632696,AGAPANTHACEAE
Agapanthus walshii,HK_230,1978,hangklip,0.1,NA,41.4,0.00241545893719807,AGAPANTHACEAE
Agapanthus walshii,HK_52,1978,hangklip,0.1,NA,79.6,0.00125628140703518,AGAPANTHACEAE
Agapanthus walshii,HK_234,1978,hangklip,0.1,NA,3.2,0.03125,AGAPANTHACEAE
Agapanthus walshii,LB2_101,1993,langeberg,2.5,NA,147.8,0.016914749661705,AGAPANTHACEAE
Agapanthus walshii,HK_69,1978,hangklip,0.1,NA,30.7,0.00325732899022801,AGAPANTHACEAE
Agapanthus walshii,LB2_62,1993,langeberg,2.5,NA,260.7,0.00958956655159187,AGAPANTHACEAE
Agapanthus walshii,HK_62,1978,hangklip,0.1,NA,30.9,0.00323624595469256,AGAPANTHACEAE
Agapanthus walshii,LB2_63,1993,langeberg,0.1,NA,216,0.000462962962962963,AGAPANTHACEAE
Agapanthus walshii,LB2_123,1993,langeberg,2.5,NA,237.7,0.01051745898191,AGAPANTHACEAE
Agapanthus walshii,LB2_119,1993,langeberg,2.5,NA,287.9,0.00868357068426537,AGAPANTHACEAE
Agapanthus walshii,HK_173,1978,hangklip,0.1,NA,18.5,0.00540540540540541,AGAPANTHACEAE
Agapanthus walshii,HK_158,1978,hangklip,0.1,NA,15.2,0.00657894736842105,AGAPANTHACEAE
Agapanthus walshii,LB2_96,1993,langeberg,2.5,NA,238.4,0.0104865771812081,AGAPANTHACEAE
